Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Advantage Shuffle,100.0,0.00546751737108824,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Subarray Sum Equals K,70.2,0.004756672478798268,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,LFU Cache,70.2,0.004951439405422402,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,70.2,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,70.2,0.006761528111952068,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Two Sum,70.2,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,70.2,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,3Sum,70.2,0.003930121308153282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Subarray Product Less Than K,70.2,0.005449010275694816,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Sort Colors,70.2,0.006987536385439906,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,70.2,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Generate Parentheses,70.2,0.007881153312503676,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,70.2,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Permutation in String,70.2,0.004911065453851941,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Zigzag Conversion,70.2,0.005438150861020258,https://leetcode.com/problems/zigzag-conversion,String
EASY,Move Zeroes,70.2,0.006398872257912236,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
HARD,Sliding Window Maximum,70.2,0.004889052495042554,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Course Schedule,70.2,0.005164944232628777,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
