Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,100.0,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,98.2,0.004436559274735546,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,91.7,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Search in Rotated Sorted Array,91.7,0.004509755149600735,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,91.7,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Generate Parentheses,89.2,0.007881153312503676,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Trapping Rain Water,89.2,0.006761528111952068,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,86.4,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Word Break,86.4,0.004958112753484877,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Group Anagrams,79.7,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Coin Change,79.7,0.004863057230069872,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,75.6,0.003804655500546776,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Combination Sum,75.6,0.00767091676156989,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Longest Increasing Subsequence,75.6,0.005957471230427221,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Container With Most Water,70.8,0.006024277573333843,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Spiral Matrix,70.8,0.005707388750901669,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Binary Tree Zigzag Level Order Traversal,70.8,0.00639214257388038,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,70.8,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,70.8,0.0047148613325957815,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Max Stack,70.8,0.004595753822448739,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,Median of Two Sorted Arrays,70.8,0.004684251722617945,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Find Median from Data Stream,70.8,0.005463241598660296,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Merge k Sorted Lists,64.8,0.005981782744989541,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Reverse Nodes in k-Group,64.8,0.006642210833004798,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Add Binary,64.8,0.005817458079557144,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Sort Colors,64.8,0.006987536385439906,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Kth Largest Element in an Array,64.8,0.00690392128960982,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Valid Sudoku,64.8,0.006467049387699764,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Binary Tree Right Side View,64.8,0.007049443173985146,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Subsets II,64.8,0.006149626752849515,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
