Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003929965776265169,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,100.0,0.006459363956527961,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,LRU Cache,98.4,0.0047546407921135415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Valid Parentheses,96.6,0.004436559274735546,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,92.8,0.005768896943827939,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Generate Parentheses,90.6,0.007881153312503676,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Trapping Rain Water,90.6,0.006761528111952068,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Search in Rotated Sorted Array,88.3,0.004509755149600735,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Merge Intervals,88.3,0.005211662279649603,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Divide Intervals Into Minimum Number of Groups,88.3,0.006356391833873653,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Middle of the Linked List,88.3,0.008201278217105068,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
HARD,Number of Ways to Separate Numbers,85.7,0.0021783301277309266,https://leetcode.com/problems/number-of-ways-to-separate-numbers,"String, Dynamic Programming, Prefix Sum"
EASY,The Winner University,85.7,0.007557744225577442,https://leetcode.com/problems/the-winner-university,Database
HARD,Count Good Triplets in an Array,85.7,0.006537339411520928,https://leetcode.com/problems/count-good-triplets-in-an-array,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Minimum Number of Operations to Make Arrays Similar,85.7,0.0061377575632278955,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,"Array, Greedy, Sorting"
MEDIUM,Minimum Operations to Make Array Equal II,85.7,0.003325506715928317,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,"Array, Math, Greedy"
HARD,Maximum Number of Tasks You Can Assign,85.7,0.005000636205899364,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Two Pointers, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
EASY,Count Elements With Maximum Frequency,85.7,0.007981815610438718,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Array, Hash Table, Counting"
EASY,Maximum Length Substring With Two Occurrences,85.7,0.006574860362809549,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences,"Hash Table, String, Sliding Window"
MEDIUM,Circular Permutation in Binary Representation,85.7,0.007275544460704141,https://leetcode.com/problems/circular-permutation-in-binary-representation,"Math, Backtracking, Bit Manipulation"
MEDIUM,Find the N-th Value After K Seconds,85.7,0.005403511579524931,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds,"Array, Math, Simulation, Combinatorics, Prefix Sum"
EASY,XOR Operation in an Array,85.7,0.008768585564868136,https://leetcode.com/problems/xor-operation-in-an-array,"Math, Bit Manipulation"
MEDIUM,Group Anagrams,82.9,0.007279897151569383,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Word Break,82.9,0.004958112753484877,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Maximum Distance Between Unequal Words in Array I,79.8,0.008264580369843528,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-i,"Array, String"
EASY,Best Time to Buy and Sell Stock,76.2,0.005696338702405084,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Coin Change,76.2,0.004863057230069872,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,72.1,0.003804655500546776,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Container With Most Water,72.1,0.006024277573333843,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Combination Sum,72.1,0.00767091676156989,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Sort Colors,72.1,0.006987536385439906,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Longest Consecutive Sequence,72.1,0.0047148613325957815,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
HARD,Max Stack,72.1,0.004595753822448739,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,Longest Increasing Subsequence,72.1,0.005957471230427221,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Advantage Shuffle,72.1,0.00546751737108824,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
HARD,Median of Two Sorted Arrays,67.2,0.004684251722617945,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,3Sum,67.2,0.003930121308153282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Spiral Matrix,67.2,0.005707388750901669,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Binary Tree Zigzag Level Order Traversal,67.2,0.00639214257388038,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Kth Largest Element in an Array,67.2,0.00690392128960982,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,First Unique Character in a String,67.2,0.00657121571789095,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
HARD,LFU Cache,67.2,0.004951439405422402,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Zigzag Conversion,67.2,0.005438150861020258,https://leetcode.com/problems/zigzag-conversion,String
HARD,Find Median from Data Stream,67.2,0.005463241598660296,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Sort the Matrix Diagonally,67.2,0.0083210975899546,https://leetcode.com/problems/sort-the-matrix-diagonally,"Array, Sorting, Matrix"
EASY,Longest Common Prefix,61.2,0.00477817428553112,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Merge k Sorted Lists,61.2,0.005981782744989541,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,Reverse Nodes in k-Group,61.2,0.006642210833004798,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Valid Sudoku,61.2,0.006467049387699764,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Maximum Subarray,61.2,0.005347378708175318,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Add Binary,61.2,0.005817458079557144,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Binary Tree Right Side View,61.2,0.007049443173985146,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule,61.2,0.005164944232628777,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
EASY,Move Zeroes,61.2,0.006398872257912236,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Top K Frequent Elements,61.2,0.006670466481723438,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Subarray Sum Equals K,61.2,0.004756672478798268,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Subsets II,61.2,0.006149626752849515,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,61.2,0.004315021036273358,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window"
HARD,Trapping Rain Water II,61.2,0.006409762715091511,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Integer to Roman,61.2,0.007117969028918968,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Palindromic Substrings,61.2,0.007292154081833757,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Design Hit Counter,61.2,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Rotting Oranges,61.2,0.0058869093699178395,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Diagonal Traverse,61.2,0.006723700541307634,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Construct Binary Tree from Inorder and Postorder Traversal,61.2,0.006892780040812044,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Permutation in String,61.2,0.004911065453851941,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
HARD,First Missing Positive,53.6,0.004311812261073424,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Search a 2D Matrix,53.6,0.0054168890539489966,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Minimum Window Substring,53.6,0.004780059935256185,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Largest Rectangle in Histogram,53.6,0.005018794551238438,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Decode Ways,53.6,0.0038134823156608295,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Min Stack,53.6,0.005831175315839487,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Rotate Array,53.6,0.004510327473502637,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,House Robber,53.6,0.005332524290987673,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Course Schedule II,53.6,0.005574075060766135,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Wildcard Matching,53.6,0.003220564172132638,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Daily Temperatures,53.6,0.006882791335745637,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Jump Game,53.6,0.004106532520524852,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Insert Interval,53.6,0.004541533156560688,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Minimum Remove to Make Valid Parentheses,53.6,0.007150181659720558,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Triangle,53.6,0.005992087876417589,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
MEDIUM,Find Minimum in Rotated Sorted Array,53.6,0.005486477985105998,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,The Maze,53.6,0.0060449073835347235,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Remove All Adjacent Duplicates in String II,53.6,0.006146409745445008,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Meeting Rooms II,53.6,0.005272302165786939,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Remove Nth Node From End of List,53.6,0.005188586481799088,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Set Matrix Zeroes,53.6,0.006317521781678398,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Valid Palindrome,53.6,0.005358828705148624,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Remove K Digits,53.6,0.0037086761360443153,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Next Greater Element III,53.6,0.0035404236375958433,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Next Permutation,53.6,0.004551814923254958,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,"Pow(x, n)",43.0,0.0038842170638427255,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Word Search,43.0,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Populating Next Right Pointers in Each Node,43.0,0.006734894216646495,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Best Time to Buy and Sell Stock II,43.0,0.007124019985176692,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Copy List with Random Pointer,43.0,0.006314271292023678,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Product of Array Except Self,43.0,0.0069001713735827195,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Flatten Nested List Iterator,43.0,0.0065744363274518845,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Longest Common Subsequence,43.0,0.00592844836648456,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Sort Characters By Frequency,43.0,0.007546743615875449,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Basic Calculator II,43.0,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Contiguous Array,43.0,0.005159854072593909,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
MEDIUM,Find Peak Element,43.0,0.0047029958482232735,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Find K Pairs with Smallest Sums,43.0,0.004204481912055257,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
MEDIUM,Non-decreasing Array,43.0,0.0025486142015185725,https://leetcode.com/problems/non-decreasing-array,Array
MEDIUM,Search in Rotated Sorted Array II,43.0,0.004017245501187208,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Reverse Integer,43.0,0.0032045518491416003,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Combination Sum II,43.0,0.005963284391194153,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
HARD,Count Different Palindromic Subsequences,43.0,0.0048010654064193845,https://leetcode.com/problems/count-different-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Reverse Linked List II,43.0,0.005174349744609325,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Maximum Product Subarray,43.0,0.0036570543451914534,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Remove Letter To Equalize Frequency,43.0,0.0019439653672768484,https://leetcode.com/problems/remove-letter-to-equalize-frequency,"Hash Table, String, Counting"
MEDIUM,Find the Winner of the Circular Game,43.0,0.00822800731167733,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Asteroid Collision,43.0,0.004821283939725368,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Subsets,43.0,0.008247542362219324,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
EASY,Diameter of Binary Tree,43.0,0.0065727526610959005,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Number of Islands II,43.0,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
EASY,Roman to Integer,43.0,0.006679181541024276,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Rising Temperature,43.0,0.0051491716583612415,https://leetcode.com/problems/rising-temperature,Database
MEDIUM,Capacity To Ship Packages Within D Days,43.0,0.007414296936084103,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Edit Distance,43.0,0.00608072841270349,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Find All Duplicates in an Array,43.0,0.007700217218080403,https://leetcode.com/problems/find-all-duplicates-in-an-array,"Array, Hash Table, Sorting"
HARD,N-Queens II,43.0,0.007887049671602708,https://leetcode.com/problems/n-queens-ii,Backtracking
EASY,Relative Sort Array,43.0,0.0075279916631838684,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
MEDIUM,Number of Distinct Islands,43.0,0.006287405182125423,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Find All Anagrams in a String,43.0,0.00539581965552886,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Longest Substring with At Least K Repeating Characters,43.0,0.00463899392523578,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,"Hash Table, String, Divide and Conquer, Sliding Window"
EASY,Linked List Cycle,43.0,0.0054550192861385505,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
HARD,Meeting Rooms III,43.0,0.0051452083379505634,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Reconstruct Itinerary,43.0,0.004467738532639633,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
HARD,Candy,43.0,0.004866092607547812,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Decode String,43.0,0.006278219281178004,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Nearest Exit from Entrance in Maze,43.0,0.004868434396359973,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,"Array, Breadth-First Search, Matrix"
MEDIUM,Furthest Building You Can Reach,43.0,0.005096036924445763,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
