Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Points on a Line,100.0,0.0030936226543023387,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
MEDIUM,Number of Islands,87.4,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Logger Rate Limiter,79.5,0.007685429606125137,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Random Pick with Weight,79.5,0.004912308707924108,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Meeting Rooms II,74.2,0.005272302165786939,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Number of Visible People in a Queue,74.2,0.007325095481712732,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Design Tic-Tac-Toe,67.5,0.005874844437222803,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
HARD,Shortest Distance from All Buildings,67.5,0.004495251580771954,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Minimum Knight Moves,67.5,0.004199291637871459,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
HARD,Design Excel Sum Formula,67.5,0.003961508596783139,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,Minimum Area Rectangle,67.5,0.0055402913066047825,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
HARD,Minimum Number of Refueling Stops,67.5,0.004158713672617531,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Divide Array in Sets of K Consecutive Numbers,58.0,0.005937521103172566,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,"Array, Hash Table, Greedy, Sorting"
MEDIUM,Find Peak Element,58.0,0.004702998854780793,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
HARD,Text Justification,58.0,0.0051389119100281625,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Largest Rectangle in Histogram,58.0,0.005018800727170159,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Path With Minimum Effort,58.0,0.006346687686349772,https://leetcode.com/problems/path-with-minimum-effort,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
HARD,Regular Expression Matching,58.0,0.0031126361448315038,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Alien Dictionary,58.0,0.0037248200202323776,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Maximum Earnings From Taxi,58.0,0.004659767260015639,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Range Sum Query 2D - Immutable,58.0,0.005848325649547907,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
HARD,Robot Room Cleaner,58.0,0.0078048647191273236,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Number of Islands II,58.0,0.004065304164521254,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Car Fleet,58.0,0.005526931981666595,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Maximum Gap,58.0,0.005232611446824357,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
