Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Find Edges in Shortest Paths,100.0,0.004686586554075999,https://leetcode.com/problems/find-edges-in-shortest-paths,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Maximize Greatness of an Array,84.8,0.006182975632681545,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
HARD,Maximum Profit in Job Scheduling,73.6,0.005477637810810153,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Longest Increasing Path in a Matrix,73.6,0.00567473727671442,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix"
HARD,Swim in Rising Water,73.6,0.006793551913516516,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
HARD,Count Paths That Can Form a Palindrome in a Tree,73.6,0.005257197762602519,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Detect Cycles in 2D Grid,73.6,0.006337440884566709,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Text Justification,64.8,0.0051389119100281625,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Count Binary Substrings,64.8,0.007047067790514136,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Design Snake Game,64.8,0.0040037226477332,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
