Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Verbal Arithmetic Puzzle,100.0,0.0033417740373873545,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,81.3,0.004123832900182885,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
EASY,Rotate String,81.3,0.006677949750429932,https://leetcode.com/problems/rotate-string,"String, String Matching"
MEDIUM,Number of Islands,81.3,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Valid Parentheses,81.3,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,81.3,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimizing Array After Replacing Pairs With Their Product,70.4,0.004080756013745705,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product,"Array, Dynamic Programming, Greedy"
MEDIUM,Product of Array Except Self,70.4,0.0069001720836744836,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Spiral Matrix,70.4,0.00570738909089895,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Merge Strings Alternately,70.4,0.008210748047917195,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Longest Common Prefix,70.4,0.004778175200397889,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Kth Largest Element in a Stream,70.4,0.0061179454002525035,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Maximum Number of Weeks for Which You Can Work,70.4,0.004254992528189105,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
EASY,Minimum String Length After Removing Substrings,70.4,0.007719032633214391,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
MEDIUM,Maximum Subarray,70.4,0.005347378986395209,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Count Vowel Substrings of a String,70.4,0.007324720037358874,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,LFU Cache,70.4,0.004951458378221285,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Intersection of Two Linked Lists,70.4,0.006403160162545674,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Meeting Rooms II,70.4,0.005272302165786939,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Backspace String Compare,70.4,0.004998364095931463,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,LRU Cache,70.4,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Earnings From Taxi,70.4,0.004659767260015639,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
