Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Integer to Roman,100.0,0.007117967652851759,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Rotting Oranges,95.0,0.00588691300027351,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Strong Password Checker,92.1,0.0015950216504323142,https://leetcode.com/problems/strong-password-checker,"String, Greedy, Heap (Priority Queue)"
MEDIUM,Number of Islands,88.8,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Decode String,88.8,0.006278224993630287,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Roman to Integer,85.0,0.006679178553608795,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,80.5,0.004684244579338252,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Word Search II,80.5,0.003858637683398005,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Merge Intervals,75.0,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Subsets,75.0,0.008247542826387984,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Escape The Ghosts,75.0,0.006388608102687526,https://leetcode.com/problems/escape-the-ghosts,"Array, Math"
MEDIUM,As Far from Land as Possible,75.0,0.00523300218574075,https://leetcode.com/problems/as-far-from-land-as-possible,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Container With Most Water,67.9,0.006024280596833171,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Reconstruct Original Digits from English,57.9,0.005299188137938235,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
MEDIUM,Add Two Numbers,57.9,0.004870091583916914,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Substring,57.9,0.0038046565504605196,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Clone Graph,57.9,0.0065561714488573085,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
EASY,Is Subsequence,57.9,0.004912558848943037,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Copy List with Random Pointer,57.9,0.00631426838903861,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
HARD,Alien Dictionary,57.9,0.0037248200202323776,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,3Sum,57.9,0.003930123300648507,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Merge Two Sorted Lists,57.9,0.006845214273839292,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Move Zeroes,57.9,0.006398874870586175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Diameter of Binary Tree,57.9,0.006572756242081419,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Minimum Distance Between BST Nodes,57.9,0.006148664990728593,https://leetcode.com/problems/minimum-distance-between-bst-nodes,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
HARD,Trapping Rain Water,57.9,0.006761526210956386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Design HashSet,57.9,0.006816465743593436,https://leetcode.com/problems/design-hashset,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,"Pow(x, n)",57.9,0.0038842188513363417,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Maximum Subarray,57.9,0.005347378986395209,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Employees Earning More Than Their Managers,57.9,0.007341119947982203,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
EASY,Unique Morse Code Words,57.9,0.008365041532703834,https://leetcode.com/problems/unique-morse-code-words,"Array, Hash Table, String"
MEDIUM,Subdomain Visit Count,57.9,0.007716876237047388,https://leetcode.com/problems/subdomain-visit-count,"Array, Hash Table, String, Counting"
EASY,Unique Email Addresses,57.9,0.00679194506094656,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
MEDIUM,Binary Tree Right Side View,57.9,0.007049443173985146,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Palindrome Pairs,57.9,0.003729360767134523,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie, Hash Function"
EASY,Power of Four,57.9,0.0052185360104327685,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
EASY,Intersection of Two Arrays,57.9,0.007793583479789816,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
EASY,Verifying an Alien Dictionary,57.9,0.00560196391674502,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
MEDIUM,Validate Binary Search Tree,57.9,0.003591169213772785,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Longest String Chain,57.9,0.006316922660611444,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Lowest Common Ancestor of a Binary Tree,57.9,0.006956388915892872,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Shortest Word Distance,57.9,0.006634811591171748,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Search Suggestions System,57.9,0.006518412902607557,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,K Closest Points to Origin,57.9,0.006910637522525477,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Invalid Transactions,57.9,0.003235064503626599,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Group Shifted Strings,57.9,0.0067833396970582525,https://leetcode.com/problems/group-shifted-strings,"Array, Hash Table, String"
HARD,Binary Tree Maximum Path Sum,57.9,0.004243013190768681,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,All Nodes Distance K in Binary Tree,57.9,0.006777220852429619,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Word Search,57.9,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Find Peak Element,57.9,0.004702998854780793,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Count and Say,57.9,0.006312775825634238,https://leetcode.com/problems/count-and-say,String
MEDIUM,Lowest Common Ancestor of a Binary Tree III,57.9,0.008300866614514015,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
EASY,Valid Parentheses,57.9,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Shortest Distance from All Buildings,57.9,0.004495251580771954,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
EASY,Fibonacci Number,57.9,0.007426424970598339,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
