Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.006761526210956386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,100.0,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,100.0,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Flatten Nested List Iterator,100.0,0.006574440484381617,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Tweet Counts Per Frequency,100.0,0.004628185186879546,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, String, Binary Search, Design, Sorting, Ordered Set"
HARD,Regular Expression Matching,97.3,0.0031126361448315038,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Integer to Roman,97.3,0.007117967652851759,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Valid Parentheses,97.3,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Merge k Sorted Lists,97.3,0.005981785889895501,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Multiply Strings,97.3,0.004433670334622471,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Wildcard Matching,97.3,0.003220564172132638,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
HARD,Permutation Sequence,97.3,0.005343742979105819,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
EASY,Pascal's Triangle,97.3,0.007908893758225675,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
HARD,Word Break II,97.3,0.005572770278128279,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Time Needed to Buy Tickets,97.3,0.007282059338986351,https://leetcode.com/problems/time-needed-to-buy-tickets,"Array, Queue, Simulation"
HARD,Max Points on a Line,97.3,0.0030936226543023387,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
MEDIUM,One Edit Distance,97.3,0.0034575111514326758,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
EASY,Happy Number,97.3,0.005983067727292694,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Reverse Linked List,97.3,0.008070849699654574,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
