Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Top K Frequent Elements,100.0,0.006670467684384185,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Two Sum,91.2,0.005768897681567189,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Combination Sum,91.2,0.007670914220963981,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Maximum Depth of Binary Tree,91.2,0.007830409837207704,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reverse Linked List,91.2,0.008070849699654574,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Contains Duplicate,91.2,0.006445900646470725,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
HARD,Serialize and Deserialize Binary Tree,91.2,0.006096498971748574,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Largest Palindrome Product,91.2,0.003915799203327538,https://leetcode.com/problems/largest-palindrome-product,"Math, Enumeration"
HARD,Median of Two Sorted Arrays,78.8,0.004684244579338252,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,78.8,0.006069136063753233,https://leetcode.com/problems/palindrome-number,Math
EASY,Roman to Integer,78.8,0.006679178553608795,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Longest Common Prefix,78.8,0.004778175200397889,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,78.8,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,78.8,0.004509757025486441,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Spiral Matrix,78.8,0.00570738909089895,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Validate Binary Search Tree,78.8,0.003591169213772785,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Word Break,78.8,0.004958110725294675,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Linked List Cycle,78.8,0.005455020567203094,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Longest Repeating Character Replacement,78.8,0.00599280099445634,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Subarray Sum Equals K,78.8,0.004756677389349518,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Shortest Path in Binary Matrix,78.8,0.005173035265884037,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
EASY,Matrix Cells in Distance Order,78.8,0.007431696506731292,https://leetcode.com/problems/matrix-cells-in-distance-order,"Array, Math, Geometry, Sorting, Matrix"
MEDIUM,Non-decreasing Subsequences,78.8,0.006281480219983498,https://leetcode.com/problems/non-decreasing-subsequences,"Array, Hash Table, Backtracking, Bit Manipulation"
MEDIUM,Maximum Distance in Arrays,78.8,0.0045587854044621436,https://leetcode.com/problems/maximum-distance-in-arrays,"Array, Greedy"
EASY,Binary Number with Alternating Bits,78.8,0.006991017519152642,https://leetcode.com/problems/binary-number-with-alternating-bits,Bit Manipulation
MEDIUM,Peeking Iterator,78.8,0.006160140213403283,https://leetcode.com/problems/peeking-iterator,"Array, Design, Iterator"
MEDIUM,Restore IP Addresses,78.8,0.005629971412456578,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Evaluate Division,78.8,0.006432730999418813,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
MEDIUM,Flatten Nested List Iterator,78.8,0.006574440484381617,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Find Peak Element,78.8,0.004702998854780793,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
