Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.00712802025386367,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,89.9,0.005436254991298667,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Merge Intervals,89.9,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Subarray Sum Equals K,82.7,0.004756677389349518,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Maximize Distance to Closest Person,72.5,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Valid Palindrome II,72.5,0.004438466230969941,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Number of Islands,72.5,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,72.5,0.003929967609119583,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,72.5,0.0038046565504605196,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,String Compression,72.5,0.006021219610447583,https://leetcode.com/problems/string-compression,"Two Pointers, String"
