Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.00712802025386367,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,90.2,0.005436254991298667,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Maximize Distance to Closest Person,89.0,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Longest Substring Without Repeating Characters,84.1,0.003929967609119583,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find K Closest Elements,83.5,0.004979485962699149,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,String Compression,81.0,0.006021219610447583,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Valid Palindrome II,80.4,0.004438466230969941,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Subarray Sum Equals K,79.0,0.004756677389349518,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Move Zeroes,78.2,0.006398874870586175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Merge Intervals,77.5,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,One Edit Distance,75.8,0.0034575111514326758,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
EASY,Isomorphic Strings,74.1,0.0048563853495035775,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Line Reflection,73.1,0.0036382052061176944,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,Permutation in String,73.1,0.004911065453851941,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
EASY,Valid Palindrome,72.1,0.005358830480841749,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Two Sum,71.0,0.005768897681567189,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Find All Anagrams in a String,69.9,0.00539581965552886,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Find the Prefix Common Array of Two Arrays,69.9,0.008831154453623565,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays,"Array, Hash Table, Bit Manipulation"
EASY,Longest Strictly Increasing or Strictly Decreasing Subarray,69.9,0.006492893233224725,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,Array
MEDIUM,Longest Palindromic Substring,68.7,0.0038046565504605196,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Group Anagrams,68.7,0.007279900792623488,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Insert Delete GetRandom O(1),68.7,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Number of Islands,67.5,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Merge Sorted Array,66.1,0.005509635580698313,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Merge Two Sorted Lists,63.1,0.006845214273839292,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Is Subsequence,63.1,0.004912558848943037,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Squares of a Sorted Array,63.1,0.0073858265820869766,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,61.4,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,61.4,0.006761526210956386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Interval List Intersections,61.4,0.007306717443664015,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
MEDIUM,Design an ATM Machine,61.4,0.004539425651009978,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
MEDIUM,Max Consecutive Ones III,57.5,0.006790629828744408,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Min Stack,57.5,0.005831178969880903,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Find Duplicate Subtrees,57.5,0.006075693761145569,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
HARD,Median of Two Sorted Arrays,55.2,0.004684244579338252,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Symmetric Tree,55.2,0.006142833606461063,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,LRU Cache,55.2,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Binary Tree Right Side View,55.2,0.007049443173985146,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,55.2,0.006956388915892872,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Product of Array Except Self,55.2,0.0069001720836744836,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Generate Parentheses,52.6,0.007881152906713524,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Binary Tree Maximum Path Sum,52.6,0.004243013190768681,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Reconstruct Itinerary,52.6,0.004467742937074963,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
MEDIUM,Design Hit Counter,52.6,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
