Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.00712802025386367,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,89.9,0.005436254991298667,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Maximize Distance to Closest Person,88.8,0.004985286770153162,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Longest Substring Without Repeating Characters,83.5,0.003929967609119583,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find K Closest Elements,83.0,0.004979485962699149,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Subarray Sum Equals K,79.8,0.004756677389349518,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,String Compression,79.2,0.006021219610447583,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Merge Intervals,78.6,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Palindrome II,78.6,0.004438466230969941,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
EASY,Move Zeroes,75.9,0.006398874870586175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,One Edit Distance,72.9,0.0034575111514326758,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
EASY,Isomorphic Strings,72.0,0.0048563853495035775,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Permutation in String,72.0,0.004911065453851941,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Line Reflection,71.1,0.0036382052061176944,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
EASY,Two Sum,70.2,0.005768897681567189,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,70.2,0.0038046565504605196,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Palindrome,70.2,0.005358830480841749,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Longest Strictly Increasing or Strictly Decreasing Subarray,70.2,0.006492893233224725,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,Array
MEDIUM,Find All Anagrams in a String,69.2,0.00539581965552886,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Find the Prefix Common Array of Two Arrays,68.2,0.008831154453623565,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays,"Array, Hash Table, Bit Manipulation"
MEDIUM,Number of Islands,67.1,0.006459367170574068,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Insert Delete GetRandom O(1),67.1,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Group Anagrams,65.9,0.007279900792623488,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Merge Sorted Array,64.7,0.005509635580698313,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Interval List Intersections,63.4,0.007306717443664015,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
HARD,Trapping Rain Water,62.0,0.006761526210956386,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Squares of a Sorted Array,62.0,0.0073858265820869766,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,60.4,0.0044365623379265485,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Two Sorted Lists,60.4,0.006845214273839292,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Design an ATM Machine,60.4,0.004539425651009978,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
EASY,Is Subsequence,60.4,0.004912558848943037,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find Duplicate Subtrees,58.8,0.006075693761145569,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Min Stack,56.9,0.005831178969880903,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Max Consecutive Ones III,54.9,0.006790629828744408,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Binary Tree Right Side View,54.9,0.007049443173985146,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,54.9,0.006956388915892872,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Product of Array Except Self,54.9,0.0069001720836744836,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Median of Two Sorted Arrays,52.7,0.004684244579338252,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Container With Most Water,52.7,0.006024280596833171,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Merge k Sorted Lists,52.7,0.005981785889895501,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Symmetric Tree,52.7,0.006142833606461063,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,LRU Cache,52.7,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Perfect Squares,52.7,0.00566407245702983,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
HARD,Reconstruct Itinerary,52.7,0.004467742937074963,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
MEDIUM,Generate Parentheses,50.1,0.007881152906713524,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Search in Rotated Sorted Array,50.1,0.004509757025486441,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Binary Tree Maximum Path Sum,50.1,0.004243013190768681,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Substring with At Most K Distinct Characters,50.1,0.005004910790419414,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Design Hit Counter,50.1,0.006972119412697766,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Count Substrings Without Repeating Character,50.1,0.007595364558184453,https://leetcode.com/problems/count-substrings-without-repeating-character,"Hash Table, String, Sliding Window"
EASY,Remove Element,47.2,0.00619750027290607,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Number of Recent Calls,47.2,0.007861912795992384,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
MEDIUM,Maximum Subarray,47.2,0.005347378986395209,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Add Two Numbers,43.8,0.004870091583916914,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Simplify Path,43.8,0.0050803515714062854,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Reverse Linked List,43.8,0.008070849699654574,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Longest Repeating Character Replacement,43.8,0.00599280099445634,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
EASY,Destination City,43.8,0.007953612128881394,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
EASY,Can Place Flowers,43.8,0.00291819542103723,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Basic Calculator II,43.8,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Remove Duplicates from Sorted Array,43.8,0.006308060894443438,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Binary Tree Zigzag Level Order Traversal,39.5,0.00639214441320759,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,39.5,0.0056963404112226855,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,39.5,0.005957471230427221,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Intersection of Two Arrays,39.5,0.007793583479789816,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
