Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Destination City,100.0,0.007953612128881394,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
MEDIUM,"Filter Restaurants by Vegan-Friendly, Price and Distance",97.8,0.006429366149696561,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Array, Sorting"
EASY,Two Sum,95.4,0.005768897681567189,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,95.4,0.003929967609119583,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,95.4,0.004778175200397889,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Group Anagrams,95.4,0.007279900792623488,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,95.4,0.005211661351463667,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Word Ladder II,95.4,0.0027787202659701675,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
HARD,Word Ladder,95.4,0.004584423978070138,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Reverse Words in a String,95.4,0.005681713148650558,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Active Businesses,95.4,0.006598725326403068,https://leetcode.com/problems/active-businesses,Database
EASY,Reverse Linked List,95.4,0.008070849699654574,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Course Schedule,95.4,0.005164945976904021,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,The Skyline Problem,95.4,0.004549389332606863,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
EASY,Valid Anagram,95.4,0.006826514080754562,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,95.4,0.006670467684384185,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Insert Delete GetRandom O(1),95.4,0.005540980531828077,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,95.4,0.00366941960038059,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Decode String,95.4,0.006278224993630287,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,String Compression,95.4,0.006021219610447583,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,95.4,0.006876611491666644,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Two Pointers, String, String Matching"
HARD,Find the Closest Palindrome,95.4,0.003200777077584195,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
EASY,Minimum Index Sum of Two Lists,95.4,0.006003625989118299,https://leetcode.com/problems/minimum-index-sum-of-two-lists,"Array, Hash Table, String"
MEDIUM,Top K Frequent Words,95.4,0.006029230961955792,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Letter Case Permutation,95.4,0.007590949673039645,https://leetcode.com/problems/letter-case-permutation,"String, Backtracking, Bit Manipulation"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,95.4,0.0063115292481261106,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,54.7,0.004123832900182885,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
