Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Optimal Account Balancing,100.0,0.005051150673035172,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Minimum Replacements to Sort the Array,91.7,0.005312808727395024,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,79.0,0.0044449515423232834,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
MEDIUM,Robot Bounded In Circle,69.0,0.005657182141867696,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
EASY,Day of the Year,69.0,0.005015844434610553,https://leetcode.com/problems/day-of-the-year,"Math, String"
EASY,Largest Number After Digit Swaps by Parity,69.0,0.006551426101987901,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
EASY,Maximum Strong Pair XOR I,69.0,0.007622045076274262,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
HARD,Maximum Strong Pair XOR II,69.0,0.0033047288000579334,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
MEDIUM,Number of Divisible Triplet Sums,69.0,0.006759746391474437,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,Minimum Increment to Make Array Unique,69.0,0.006070127626223493,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
HARD,Word Ladder,69.0,0.004584423978070138,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Set Matrix Zeroes,69.0,0.006317524398731583,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
