Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,100.0,0.0044449515423232834,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
EASY,Maximum Strong Pair XOR I,97.7,0.007622045076274262,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
HARD,Maximum Strong Pair XOR II,97.7,0.0033047288000579334,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
EASY,Day of the Year,97.7,0.005015844434610553,https://leetcode.com/problems/day-of-the-year,"Math, String"
EASY,Largest Number After Digit Swaps by Parity,97.7,0.006551426101987901,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
HARD,Optimal Account Balancing,89.3,0.005051150673035172,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Minimum Replacements to Sort the Array,81.3,0.005312808727395024,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Minimum Increment to Make Array Unique,69.3,0.006070127626223493,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
MEDIUM,LRU Cache,69.3,0.004754643610714069,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Robot Bounded In Circle,59.7,0.005657182141867696,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Number of Divisible Triplet Sums,59.7,0.006759746391474437,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Word Ladder,59.7,0.004584423978070138,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Set Matrix Zeroes,59.7,0.006317524398731583,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Integer to English Words,59.7,0.003506798222457669,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Reverse Nodes in k-Group,59.7,0.006642210863677677,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
