Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Univalue Path,100.0,0.004404897773791675,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Longest Consecutive Sequence,93.7,0.004714857568384506,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Path Sum III,85.5,0.004647829716338119,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Next Permutation,85.5,0.004551817747923168,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Make Array Empty,85.5,0.00271648509948681,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
MEDIUM,Koko Eating Bananas,85.5,0.005015283612699998,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,85.5,0.00674363246845989,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Find Peak Element,85.5,0.004703002863518845,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Width Ramp,85.5,0.005589597217428245,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
HARD,Sliding Window Maximum,85.5,0.0048890513005155,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Find the Distance Value Between Two Arrays,74.0,0.007194205527137385,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Longest Repeating Character Replacement,74.0,0.005992802466885763,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Count Sub Islands,74.0,0.007306234436664131,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Search in Rotated Sorted Array,74.0,0.004509757593977522,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths II,74.0,0.004463803797999751,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Divide Two Integers,74.0,0.001993732631015918,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Rotting Oranges,74.0,0.005886915826836317,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Number of Islands,74.0,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Good Subarray Sum,74.0,0.002203864702601621,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,74.0,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Kth Largest Element in an Array,74.0,0.006903920757940247,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
