Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Spiral Matrix,100.0,0.005707391086003881,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Decode String,92.4,0.006278226897777151,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Valid Parentheses,88.0,0.004436561966716398,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,88.0,0.005696340922042856,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,85.4,0.003804657301544889,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Two Sum,84.0,0.0057688973334014786,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,84.0,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,82.5,0.0067615298025363625,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,82.5,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,81.0,0.007279902010228705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Climbing Stairs,79.2,0.005415763415098653,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Compare Version Numbers,79.2,0.004655132442438265,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
MEDIUM,Number of Islands,77.4,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Largest Number,77.4,0.004323284774291645,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Rotate Image,75.4,0.008027345777898926,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Generate Parentheses,75.4,0.007881154598565402,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Zigzag Conversion,73.2,0.0054381493414295354,https://leetcode.com/problems/zigzag-conversion,String
HARD,Wildcard Matching,73.2,0.003220564172132638,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Daily Temperatures,73.2,0.006882789634821882,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Sqrt(x),73.2,0.004196729542901625,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Longest Common Prefix,68.1,0.004778177523381,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Regular Expression Matching,68.1,0.0031126364347005865,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Roman to Integer,65.0,0.006679177049456692,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Container With Most Water,65.0,0.006024282542399735,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Longest Valid Parentheses,65.0,0.003902760931062379,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Basic Calculator II,65.0,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Rotting Oranges,65.0,0.005886915826836317,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Letter Combinations of a Phone Number,61.5,0.006627797446695084,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Search in Rotated Sorted Array,61.5,0.004509757593977522,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Edit Distance,61.5,0.0060807322985073665,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Merge Sorted Array,61.5,0.0055096335369869,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,61.5,0.006398874920858486,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Non-overlapping Intervals,61.5,0.00572841243478664,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Valid Sudoku,61.5,0.006467054033354098,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Jump Game II,61.5,0.004303511493205493,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Jump Game,57.3,0.004106537398606838,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Excel Sheet Column Number,57.3,0.006794766671838909,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
EASY,Replace Elements with Greatest Element on Right Side,57.3,0.007226134835359356,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Array
EASY,Sort Even and Odd Indices Independently,57.3,0.006347019065873097,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
MEDIUM,Product of Array Except Self,57.3,0.006900172897425834,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Island Perimeter,57.3,0.007453714603332513,https://leetcode.com/problems/island-perimeter,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Single Element in a Sorted Array,57.3,0.005930903303589328,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,3Sum,52.2,0.003930124811135303,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Array,52.2,0.004510331976997677,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Find the Index of the First Occurrence in a String,52.2,0.004682796121206993,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Pascal's Triangle,52.2,0.007908894362556186,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
