Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Spiral Matrix,100.0,0.005707391086003881,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Decode String,95.1,0.006278226897777151,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,90.1,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,89.0,0.005696340922042856,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,87.8,0.004436561966716398,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,86.5,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Palindromic Substring,85.2,0.003804657301544889,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Two Sum,83.8,0.0057688973334014786,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,82.3,0.0067615298025363625,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,82.3,0.007279902010228705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Climbing Stairs,82.3,0.005415763415098653,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Compare Version Numbers,78.9,0.004655132442438265,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
EASY,Sort Even and Odd Indices Independently,78.9,0.006347019065873097,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
MEDIUM,Generate Parentheses,77.0,0.007881154598565402,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Number of Islands,77.0,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Find Winner on a Tic Tac Toe Game,77.0,0.005465967153865243,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Largest Number,77.0,0.004323284774291645,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Daily Temperatures,77.0,0.006882789634821882,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Zigzag Conversion,75.0,0.0054381493414295354,https://leetcode.com/problems/zigzag-conversion,String
HARD,Wildcard Matching,75.0,0.003220564172132638,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Rotate Image,75.0,0.008027345777898926,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Remove All Occurrences of a Substring,72.8,0.007855161993650309,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
EASY,Sqrt(x),72.8,0.004196729542901625,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Container With Most Water,70.3,0.006024282542399735,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Regular Expression Matching,70.3,0.0031126364347005865,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Count Monobit Integers,70.3,0.0066537642973601985,https://leetcode.com/problems/count-monobit-integers,"Bit Manipulation, Enumeration"
EASY,Longest Common Prefix,67.6,0.004778177523381,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
HARD,Longest Valid Parentheses,67.6,0.003902760931062379,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Merge Close Characters,67.6,0.005477689055894786,https://leetcode.com/problems/merge-close-characters,"Hash Table, String"
EASY,Roman to Integer,64.5,0.006679177049456692,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Search in Rotated Sorted Array,64.5,0.004509757593977522,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Move Zeroes,64.5,0.006398874920858486,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Basic Calculator II,64.5,0.00469727039629773,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Rotting Oranges,64.5,0.005886915826836317,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Angle Between Hands of a Clock,64.5,0.006961926376799551,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Letter Combinations of a Phone Number,60.9,0.006627797446695084,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Valid Sudoku,60.9,0.006467054033354098,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Edit Distance,60.9,0.0060807322985073665,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Merge Sorted Array,60.9,0.0055096335369869,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Non-overlapping Intervals,60.9,0.00572841243478664,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
