Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Spending After Buying Items,100.0,0.006129495315805379,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
HARD,Split the Array to Make Coprime Products,100.0,0.002903177703881541,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
MEDIUM,Bitwise OR of All Subsequence Sums,100.0,0.006413291500285225,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser, Prefix Sum"
HARD,Shortest Cycle in a Graph,100.0,0.0039846054686531645,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph Theory"
HARD,Number of Ways to Divide a Long Corridor,100.0,0.005461050839267841,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
MEDIUM,Count the Hidden Sequences,90.9,0.005673605511984168,https://leetcode.com/problems/count-the-hidden-sequences,"Array, Prefix Sum"
HARD,First Missing Positive,76.7,0.004311817303833754,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Exchange Seats,76.7,0.007432302243211333,https://leetcode.com/problems/exchange-seats,Database
MEDIUM,Number of Islands,69.3,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,69.3,0.005347379998763699,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,69.3,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,59.1,0.003930124811135303,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,LFU Cache,59.1,0.00495147102667465,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snakes and Ladders,59.1,0.004815657591061997,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Single Number III,59.1,0.007021436419618285,https://leetcode.com/problems/single-number-iii,"Array, Bit Manipulation"
MEDIUM,Maximal Square,59.1,0.005047499893066427,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Single Element in a Sorted Array,59.1,0.005930903303589328,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Isomorphic Strings,59.1,0.004856386474401944,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Course Schedule,59.1,0.0051649486571727025,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Rearrange String k Distance Apart,59.1,0.003995555412066034,https://leetcode.com/problems/rearrange-string-k-distance-apart,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,The Skyline Problem,59.1,0.004549389332606863,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
MEDIUM,Permutations,59.1,0.008205099151319593,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Move Zeroes,59.1,0.006398874920858486,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Combination Sum,59.1,0.007670916436414326,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Search a 2D Matrix II,59.1,0.005750220170917868,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Merge Intervals,59.1,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Container With Most Water,59.1,0.006024282542399735,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
