Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754644726036169,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Spiral Matrix,96.8,0.005707391086003881,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Open the Lock,89.1,0.006136955375509628,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
HARD,Word Ladder,84.3,0.0045844244370043105,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Number of Islands,84.3,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Remove One Element to Make the Array Strictly Increasing,84.3,0.0029931275456687874,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
MEDIUM,"Pow(x, n)",84.3,0.003884218701512097,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Valid Parentheses,78.3,0.004436561966716398,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Course Schedule,78.3,0.0051649486571727025,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Longest Palindromic Substring,78.3,0.003804657301544889,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Set Matrix Zeroes,78.3,0.006317527015781049,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Matchsticks to Square,78.3,0.004198744329383841,https://leetcode.com/problems/matchsticks-to-square,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Time Based Key-Value Store,78.3,0.004999051456031517,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Group Anagrams,70.6,0.007279902010228705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Alternating Digit Sum,70.6,0.006920147673878246,https://leetcode.com/problems/alternating-digit-sum,Math
