Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004754644726036169,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Remove One Element to Make the Array Strictly Increasing,100.0,0.0029931275456687874,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
EASY,Alternating Digit Sum,95.7,0.006920147673878246,https://leetcode.com/problems/alternating-digit-sum,Math
MEDIUM,Partition Equal Subset Sum,93.2,0.004963694426460993,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
EASY,Subtree of Another Tree,93.2,0.005176970039670269,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
HARD,Minimum Window Subsequence,93.2,0.004383090695122112,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
EASY,Binary Gap,93.2,0.007431352399550713,https://leetcode.com/problems/binary-gap,Bit Manipulation
HARD,Design Skiplist,93.2,0.005981599548059075,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
MEDIUM,Minimize Maximum Pair Sum in Array,93.2,0.008327006826741996,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Two Sum,87.4,0.0057688973334014786,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Spiral Matrix,87.4,0.005707391086003881,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Islands,79.9,0.006459367706247851,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Open the Lock,79.9,0.006136955375509628,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Top K Frequent Elements,79.9,0.006670467077897455,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Word Ladder,75.2,0.0045844244370043105,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Binary Tree Cameras,75.2,0.004795261318459027,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,"Pow(x, n)",75.2,0.003884218701512097,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Set Matrix Zeroes,75.2,0.006317527015781049,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Longest Palindromic Substring,69.4,0.003804657301544889,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,69.4,0.004436561966716398,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,69.4,0.007279902010228705,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Palindrome II,69.4,0.004438461170078121,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Course Schedule,69.4,0.0051649486571727025,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Matchsticks to Square,69.4,0.004198744329383841,https://leetcode.com/problems/matchsticks-to-square,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Time Based Key-Value Store,69.4,0.004999051456031517,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Sort Array By Parity,69.4,0.007656999694649749,https://leetcode.com/problems/sort-array-by-parity,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,69.4,0.005211659924033122,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Reverse Pairs,69.4,0.0034590179195207716,https://leetcode.com/problems/reverse-pairs,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Kth Largest Element in an Array,62.0,0.006903920757940247,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Reconstruct Itinerary,62.0,0.004467751745924583,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit"
MEDIUM,Rotting Oranges,62.0,0.005886915826836317,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Sort Colors,62.0,0.0069875301263407205,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Shortest Unsorted Continuous Subarray,62.0,0.0038351026489591837,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Interleaving String,62.0,0.004420900715386897,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Maximal Square,62.0,0.005047499893066427,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Jump Game II,62.0,0.004303511493205493,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Restore the Array From Adjacent Pairs,62.0,0.007507274883572935,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Word Search,62.0,0.0047587546118526385,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,3Sum,62.0,0.003930124811135303,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,51.6,0.003929968979427992,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Merge k Sorted Lists,51.6,0.005981789034796538,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Best Time to Buy and Sell Stock II,51.6,0.007124027280536387,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Reorganize String,51.6,0.005724014712038754,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Design a Stack With Increment Operation,51.6,0.007990651529900339,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,51.6,0.0057795319128310174,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Concatenated Words,51.6,0.004983536093523828,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie, Sorting"
MEDIUM,Generate Parentheses,51.6,0.007881154598565402,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Nearest Exit from Entrance in Maze,51.6,0.004868434841104309,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,"Array, Breadth-First Search, Matrix"
MEDIUM,Find Peak Element,51.6,0.004703002863518845,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Repeated Substring Pattern,51.6,0.0048410450887171365,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
MEDIUM,Walls and Gates,51.6,0.006404519398323927,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Words,51.6,0.00602923691911164,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Palindrome Linked List,51.6,0.005821427476095008,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Clone Graph,51.6,0.006556176097402948,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Sudoku Solver,51.6,0.006558548960823835,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Product of Array Except Self,51.6,0.006900172897425834,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Decode String,51.6,0.006278226897777151,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Find Median from Data Stream,51.6,0.00546323759163562,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Block Placement Queries,51.6,0.004145970507973862,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Alternating Groups II,51.6,0.006002829591570795,https://leetcode.com/problems/alternating-groups-ii,"Array, Sliding Window"
HARD,Alien Dictionary,51.6,0.003724817206120781,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Substring with Concatenation of All Words,51.6,0.0034579573188035645,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
