Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768896407290114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximum Subarray,89.5,0.005347379246651074,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Move Zeroes,86.1,0.0063988762774617155,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Palindromic Substring,86.1,0.003804654987635423,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,82.1,0.006069119180402026,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Product Subarray,82.1,0.0036570604646891324,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Valid Anagram,77.4,0.006826515034245609,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Rotate Array,77.4,0.004510333025974378,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Single Element in a Sorted Array,77.4,0.005930909048128845,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Sort Colors,77.4,0.0069875301488410415,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Toeplitz Matrix,77.4,0.006972944965100481,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
EASY,Longest Common Prefix,71.7,0.004778176509286588,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Longest Substring Without Repeating Characters,71.7,0.003929967605958291,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Squares of a Sorted Array,71.7,0.007385826831970046,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,71.7,0.004912169426549642,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,First Unique Character in a String,71.7,0.0065712277656194895,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Task Scheduler,64.3,0.006329034435761732,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,String to Integer (atoi),64.3,0.0021184322697696788,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Reverse String,64.3,0.008093605003858823,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Find the Index of the First Occurrence in a String,64.3,0.004682796790929351,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Single Number,64.3,0.007786299806711534,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Second Highest Salary,64.3,0.004735481670929242,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Product of Array Except Self,64.3,0.006900170292913281,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Subsets II,64.3,0.006149635051054559,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Spiral Matrix,64.3,0.005707393081106957,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,House Robber,64.3,0.005332529940642317,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Maximum Total Subarray Value I,64.3,0.0071913101307914,https://leetcode.com/problems/maximum-total-subarray-value-i,"Array, Greedy"
MEDIUM,3Sum,64.3,0.003930125679876653,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Container With Most Water,64.3,0.0060242818585502355,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Subarray Sum Equals K,54.0,0.004756682138134358,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Add Two Numbers,54.0,0.004870093813294528,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Palindromic Subsequence,54.0,0.006559410738515216,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
EASY,Duplicate Emails,54.0,0.007389496598506196,https://leetcode.com/problems/duplicate-emails,Database
EASY,Merge Sorted Array,54.0,0.005509634328449187,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Two Sum II - Input Array Is Sorted,54.0,0.006529638143672331,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Find the Winner of the Circular Game,54.0,0.008228022447340997,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
EASY,Remove Element,54.0,0.0061974982200434505,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Pascal's Triangle,54.0,0.007908896175545618,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Remove Outermost Parentheses,54.0,0.008721444625242169,https://leetcode.com/problems/remove-outermost-parentheses,"String, Stack"
EASY,Customer Who Visited but Did Not Make Any Transactions,54.0,0.006781104131117055,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions,Database
EASY,Employees Earning More Than Their Managers,54.0,0.0073411219313957166,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
EASY,Remove Duplicates from Sorted Array,54.0,0.0063080602081013225,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Next Greater Element I,54.0,0.0076351702211941656,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Find Minimum in Rotated Sorted Array,54.0,0.005486479410516236,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Find the Duplicate Number,54.0,0.006452379684439685,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
EASY,Find Numbers with Even Number of Digits,54.0,0.007983315270957286,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,"Array, Math"
MEDIUM,Search in Rotated Sorted Array,54.0,0.004509760341451055,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Top K Frequent Elements,54.0,0.006670467075834807,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Minimum Depth of Binary Tree,54.0,0.0053166198890628605,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Longest Increasing Subsequence,54.0,0.005957462444171068,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Reverse Integer,54.0,0.003204541245756347,https://leetcode.com/problems/reverse-integer,Math
EASY,Maximum Average Subarray I,54.0,0.004816588999529959,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
EASY,Palindrome Linked List,54.0,0.005821430420237833,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Contiguous Array,54.0,0.005159878993633354,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum"
