Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Friday Purchases I,100.0,0.008112691466083151,https://leetcode.com/problems/friday-purchases-i,Database
EASY,Two Sum,82.7,0.005768896407290114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,73.9,0.006069119180402026,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Palindromic Substring,73.1,0.003804654987635423,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Majority Element,67.7,0.006637447595018409,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Maximum Subarray,66.6,0.005347379246651074,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Move Zeroes,65.5,0.0063988762774617155,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,64.3,0.005696343229851201,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,61.6,0.004778176509286588,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,61.6,0.00443656535278918,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Find the Index of the First Occurrence in a String,58.5,0.004682796790929351,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Single Number,58.5,0.007786299806711534,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Second Highest Salary,58.5,0.004735481670929242,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Subarray Sum Equals K,58.5,0.004756682138134358,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Jump Game,56.7,0.00410653733186712,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
