Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Friday Purchases I,100.0,0.008112691466083151,https://leetcode.com/problems/friday-purchases-i,Database
EASY,Two Sum,87.4,0.005768896407290114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,77.4,0.003804654987635423,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,77.4,0.006069119180402026,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Subarray,73.2,0.005347379246651074,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Move Zeroes,71.6,0.0063988762774617155,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Majority Element,66.9,0.006637447595018409,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Longest Common Prefix,65.8,0.004778176509286588,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Best Time to Buy and Sell Stock,64.6,0.005696343229851201,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Sort Colors,63.4,0.0069875301488410415,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Find the Index of the First Occurrence in a String,62.1,0.004682796790929351,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
EASY,Valid Parentheses,62.1,0.00443656535278918,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Single Number,62.1,0.007786299806711534,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Second Highest Salary,62.1,0.004735481670929242,https://leetcode.com/problems/second-highest-salary,Database
EASY,Valid Anagram,62.1,0.006826515034245609,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,60.6,0.003929967605958291,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Subarray Sum Equals K,60.6,0.004756682138134358,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Rotate Array,59.1,0.004510333025974378,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Median of Two Sorted Arrays,59.1,0.004684229014732372,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Reverse Integer,57.4,0.003204541245756347,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Container With Most Water,57.4,0.0060242818585502355,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,57.4,0.003930125679876653,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Remove Duplicates from Sorted Array,57.4,0.0063080602081013225,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Jump Game,57.4,0.00410653733186712,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Contains Duplicate,57.4,0.006445903911061282,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Remove Letter To Equalize Frequency,57.4,0.0019439653672768484,https://leetcode.com/problems/remove-letter-to-equalize-frequency,"Hash Table, String, Counting"
EASY,Count the Digits That Divide a Number,57.4,0.008593937738940469,https://leetcode.com/problems/count-the-digits-that-divide-a-number,Math
EASY,Maximum Ascending Subarray Sum,57.4,0.006630822215359814,https://leetcode.com/problems/maximum-ascending-subarray-sum,Array
MEDIUM,Maximum Product Subarray,55.6,0.0036570604646891324,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
EASY,Reverse String,55.6,0.008093605003858823,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Minimum Cuts to Divide a Circle,55.6,0.0056347921626075815,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle,"Math, Geometry"
EASY,Minimum Operations to Exceed Threshold Value I,55.6,0.008683133784073666,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i,Array
MEDIUM,Minimum Operations to Exceed Threshold Value II,55.6,0.0045835520874537026,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii,"Array, Heap (Priority Queue), Simulation"
HARD,Palindrome Partitioning IV,55.6,0.004549214007369509,https://leetcode.com/problems/palindrome-partitioning-iv,"String, Dynamic Programming"
EASY,Check if Array Is Sorted and Rotated,55.6,0.005744902282492173,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Valid Palindrome,55.6,0.005358833414427522,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Zigzag Grid Traversal With Skip,55.6,0.006543256516811485,https://leetcode.com/problems/zigzag-grid-traversal-with-skip,"Array, Matrix, Simulation"
MEDIUM,Task Scheduler,55.6,0.006329034435761732,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Spiral Matrix,53.6,0.005707393081106957,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,51.3,0.004912169426549642,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Trapping Rain Water,51.3,0.006761530999727917,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,"Pow(x, n)",51.3,0.0038842191744428577,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,First Unique Character in a String,51.3,0.0065712277656194895,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Contains Duplicate II,51.3,0.005145324892991739,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Climbing Stairs,48.7,0.005415758212116027,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Sorted Array,48.7,0.005509634328449187,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Toeplitz Matrix,48.7,0.006972944965100481,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
MEDIUM,Bitwise ORs of Subarrays,48.7,0.005690433421815383,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Array, Dynamic Programming, Bit Manipulation"
EASY,Fibonacci Number,48.7,0.0074264280106663295,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Merge Intervals,48.7,0.00521165976318283,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Burst Balloons,48.7,0.006375946302908593,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,48.7,0.004509760341451055,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Roman to Integer,45.8,0.006679177776456443,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Unique Paths,45.8,0.006695963164934759,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Plus One,45.8,0.005011672610826733,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Missing Number,45.8,0.0072197716970905535,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
EASY,Add Binary,45.8,0.005817462156910484,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Single Element in a Sorted Array,45.8,0.005930909048128845,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Sort an Array,45.8,0.005593099283701522,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
EASY,Search Insert Position,45.8,0.005151872344236157,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
HARD,N-Queens,45.8,0.007584695808065437,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Smallest Sufficient Team,45.8,0.005568728749944804,https://leetcode.com/problems/smallest-sufficient-team,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
EASY,Employees Earning More Than Their Managers,45.8,0.0073411219313957166,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
MEDIUM,Add Two Numbers,42.3,0.004870093813294528,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,4Sum,42.3,0.00409051184955806,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,42.3,0.007881155726465153,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Length of Last Word,42.3,0.005905953227628331,https://leetcode.com/problems/length-of-last-word,String
MEDIUM,Set Matrix Zeroes,42.3,0.0063175287604786265,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Sqrt(x),42.3,0.004196728133838598,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Pascal's Triangle,42.3,0.007908896175545618,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Happy Number,42.3,0.005983074950268796,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Find the Duplicate Number,42.3,0.006452379684439685,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Split Array With Same Average,42.3,0.002714256906634402,https://leetcode.com/problems/split-array-with-same-average,"Array, Hash Table, Math, Dynamic Programming, Bit Manipulation, Bitmask"
EASY,Count Number of Pairs With Absolute Difference K,42.3,0.008542222442078633,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
MEDIUM,Group Anagrams,42.3,0.007279904851303304,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Remove Nth Node From End of List,42.3,0.0051885932061585495,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,House Robber,42.3,0.005332529940642317,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Min Stack,42.3,0.005831182799960037,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Middle of the Linked List,42.3,0.008201283431027703,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Duplicate Emails,42.3,0.007389496598506196,https://leetcode.com/problems/duplicate-emails,Database
EASY,Squares of a Sorted Array,42.3,0.007385826831970046,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,38.0,0.004551819684754937,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Reverse Words in a String,38.0,0.0056817124372402165,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
HARD,Sliding Window Maximum,38.0,0.004889052871603514,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Diameter of Binary Tree,38.0,0.006572751339340904,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Partition Equal Subset Sum,38.0,0.004963696086301639,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
HARD,Tallest Billboard,38.0,0.0051901203402228945,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming"
EASY,Maximum Product of Three Numbers,38.0,0.004603465193611106,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
